[0327/121848.239:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Feature xr-spatial-tracking's parameters are ignored.", source:  (0)
[0327/121848.239:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'attribution-reporting'.", source:  (0)
[0327/121848.239:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'compute-pressure'.", source:  (0)
[0327/121848.239:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'interest-cohort'.", source:  (0)
[0327/121848.239:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-issuance'.", source:  (0)
[0327/121848.241:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'shared-storage'.", source:  (0)
[0327/121848.241:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'shared-storage-select-url'.", source:  (0)
[0327/121848.241:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-redemption'.", source:  (0)
[0327/121848.241:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'unload'.", source:  (0)
[0327/121848.241:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'window-management'.", source:  (0)
[0327/121850.202:INFO:CONSOLE(157)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v4/ym/r/iKbnKwPRrZn.js (157)
[0327/121904.740:ERROR:entry_impl.cc(1072)] No file for 8000001a
[0327/121904.740:ERROR:entry_impl.cc(1072)] No file for 80000018
[0327/121904.748:ERROR:entry_impl.cc(1072)] No file for 8000001b
[0327/121904.749:ERROR:entry_impl.cc(1072)] No file for 80000019
[0327/121908.378:ERROR:entry_impl.cc(1072)] No file for 8000001f
[0327/121908.381:INFO:CONSOLE(1)] "Uncaught NetworkError: Failed to execute 'importScripts' on 'WorkerGlobalScope': The script at 'https://static.whatsapp.net/rsrc.php/v4/yr/r/pG2oJOaeAak.js' failed to load.", source: https://web.whatsapp.com/static_resources/webworker_v1/init_script/?__hs=20174.HYP%3Awhatsapp_comet_pkg.2.1...1&__spin_r=1021308654&__spin_b=trunk&__spin_t=1743067122 (1)
[0327/121909.773:ERROR:entry_impl.cc(1072)] No file for 80000022
[0327/121909.782:ERROR:entry_impl.cc(1072)] No file for 80000023
[0327/121909.784:ERROR:entry_impl.cc(1072)] No file for 80000024
[0327/121909.786:ERROR:entry_impl.cc(1072)] No file for 80000025
[0327/121909.790:ERROR:entry_impl.cc(1072)] No file for 80000026
[0327/121909.790:ERROR:entry_impl.cc(1072)] No file for 80000027
[0327/121909.793:ERROR:entry_impl.cc(1072)] No file for 80000028
[0327/121909.793:ERROR:entry_impl.cc(1072)] No file for 80000029
